epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,31858.6,0.90152,0.37334,0.88472,0.99279,0.99328,0.99441,0.76398,1.0081,0.3664,0.8979,0.001783,0.001783,0.001783
168,32049.1,0.90699,0.37282,0.88821,0.99279,0.99327,0.99441,0.76421,1.00734,0.3663,0.89766,0.0017335,0.0017335,0.0017335
169,32239.5,0.89652,0.36872,0.88438,0.99279,0.99327,0.99441,0.76422,1.00705,0.36633,0.89753,0.001684,0.001684,0.001684
170,32429.9,0.90113,0.37226,0.8881,0.99279,0.99327,0.99441,0.76511,1.00569,0.36619,0.89724,0.0016345,0.0016345,0.0016345
171,32620.3,0.90392,0.37378,0.89337,0.99279,0.99327,0.99441,0.76505,1.00487,0.36565,0.897,0.001585,0.001585,0.001585
172,32810.8,0.89609,0.36982,0.88607,0.9928,0.99325,0.99441,0.76554,1.00407,0.36556,0.89681,0.0015355,0.0015355,0.0015355
173,33001.2,0.8888,0.3674,0.88635,0.9928,0.99325,0.99441,0.76589,1.00367,0.36514,0.8966,0.001486,0.001486,0.001486
174,33191.7,0.89309,0.36798,0.88606,0.9928,0.99325,0.99441,0.76609,1.0022,0.36447,0.89634,0.0014365,0.0014365,0.0014365
175,33382.2,0.88204,0.36496,0.884,0.9928,0.99326,0.99441,0.76635,1.00134,0.36453,0.89616,0.001387,0.001387,0.001387
176,33572.7,0.88479,0.36322,0.88365,0.99281,0.99326,0.9944,0.7665,1.00068,0.36384,0.89591,0.0013375,0.0013375,0.0013375
177,33763.1,0.87841,0.36371,0.88713,0.99344,0.99326,0.99441,0.76653,0.99967,0.36366,0.8957,0.001288,0.001288,0.001288
178,33953.6,0.87994,0.36156,0.88497,0.99349,0.99321,0.9944,0.76679,0.99895,0.36341,0.89543,0.0012385,0.0012385,0.0012385
179,34144.1,0.87821,0.36317,0.88159,0.99349,0.99314,0.99441,0.76716,0.99811,0.36292,0.89521,0.001189,0.001189,0.001189
180,34334.6,0.87466,0.35822,0.88125,0.99349,0.99302,0.99441,0.76708,0.99726,0.36279,0.89495,0.0011395,0.0011395,0.0011395
181,34525,0.87401,0.35974,0.87948,0.99349,0.99303,0.99441,0.76721,0.99611,0.36217,0.89475,0.00109,0.00109,0.00109
